cm,abs
3136.9267,0.30809
3136.21246,0.30796
3135.49823,0.30794
3134.78399,0.30793
3134.06975,0.30789
3133.35552,0.30783
3132.64128,0.30781
3131.92704,0.30783
3131.21281,0.30785
3130.49857,0.3078
3129.78433,0.30773
3129.0701,0.30767
3128.35586,0.30765
3127.64162,0.30765
3126.92739,0.30765
3126.21315,0.30767
3125.49891,0.30768
3124.78468,0.30766
3124.07044,0.30762
3123.35621,0.30759
3122.64197,0.30761
3121.92773,0.30775
3121.2135,0.30797
3120.49926,0.30817
3119.78502,0.30822
3119.07079,0.30817
3118.35655,0.30819
3117.64231,0.30837
3116.92808,0.30859
3116.21384,0.30868
3115.4996,0.30857
3114.78537,0.30831
3114.07113,0.30803
3113.35689,0.30786
3112.64266,0.3078
3111.92842,0.30778
3111.21418,0.3078
3110.49995,0.30792
3109.78571,0.30814
3109.07148,0.3083
3108.35724,0.30828
3107.643,0.3081
3106.92877,0.30791
3106.21453,0.30786
3105.50029,0.30794
3104.78606,0.30808
3104.07182,0.30818
3103.35758,0.30819
3102.64335,0.30814
3101.92911,0.30811
3101.21487,0.30815
3100.50064,0.30824
3099.7864,0.30831
3099.07216,0.30836
3098.35793,0.30838
3097.64369,0.30838
3096.92945,0.30836
3096.21522,0.30835
3095.50098,0.30834
3094.78675,0.30837
3094.07251,0.30849
3093.35827,0.30863
3092.64404,0.30872
3091.9298,0.30872
3091.21556,0.30871
